phi,T (K),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO,C(gr)
0.3,1123.2087492133137,5.01020583054792e-10,9.671034693345093e-13,1.6769174698109327e-09,0.14108485743879326,8.02164615698564e-07,0.08064475764385523,3.5830785400832964e-09,3.472740708411102e-10,7.696486552277166e-45,3.1063823305206165e-46,2.2906292826501807e-44,1.9817519269054415e-46,2.82569734390214e-41,7.916744457716757e-40,2.739651064554291e-10,0.04032258044733688,3.096635101497854e-24,6.933615813312736e-26,5.317377569953723e-37,1.854760503508983e-39,4.76837897391411e-37,2.0915601493138383e-62,1.3354835881872237e-55,1.2292360311101378e-65,2.8836455517377683e-63,4.027817861162383e-73,5.814173896542096e-73,1.728333595914191e-48,1.4606473801775758e-46,1.3802299554352995e-52,1.4109554992584648e-19,5.4915276723506254e-21,6.5983431783535214e-21,2.697765012975001e-18,5.88007329292506e-19,8.448465117095432e-05,1.7255367125547835e-06,6.095248092829207e-09,2.9072993955406473e-13,8.004296619128259e-35,1.0106108520448078e-28,2.714363162231579e-41,1.3064705096075887e-46,2.9795829581016913e-34,7.134196476137771e-26,5.806277681525854e-21,9.213339686779927e-25,0.7580214049432841,0.0,9.32955253181671e-106,1.3933308819145304e-105,6.213441748025964e-57,1.3710415744198156e-56,0.0
0.3653061224489796,1267.893143167151,1.3392385887450728e-08,7.671229362830933e-11,3.518228005109184e-08,0.1267232821569079,6.2709437084860225e-06,0.09734293577285626,1.8464126548606487e-08,1.4690938824183407e-09,8.498995908060984e-39,3.906382395485872e-40,1.155653208437849e-38,1.5650617910631094e-40,3.4997976060155115e-36,3.1381370728342505e-35,1.0947628983739557e-08,0.04867303679303075,3.982366090083263e-21,6.885339161677364e-23,8.627245837864545e-33,4.2313580334433384e-35,3.73170789003857e-33,3.027233628889933e-54,1.5507345262148108e-48,1.624485610662322e-57,9.044203616920737e-56,1.4094642743242963e-64,8.427534095319282e-65,2.000435024251075e-42,5.351329603090143e-41,2.471799531570222e-46,4.8036983733652874e-17,2.2107949681447e-18,1.7233499408075633e-18,1.87066413434234e-16,6.171620909100055e-17,0.00024365138038502218,2.3283552017371576e-06,1.594707879983458e-08,4.951669930601531e-12,2.7930244964476487e-30,4.193324931049674e-25,2.294370484877455e-36,3.205692016678922e-41,1.9500329776785843e-30,4.781362335688374e-23,1.0875510010626998e-18,7.392943423670277e-22,0.7513453431115605,0.0,1.1063863682099414e-93,6.69742811171857e-94,2.6860886628892156e-50,2.8047570666051236e-50,0.0
0.4306122448979592,1403.5046760243465,1.6391957092595387e-07,2.0959671201429882e-09,3.399300682261561e-07,0.11254092601034028,2.9289294108538044e-05,0.11374405102799774,6.189233349300634e-08,4.334691868401179e-09,3.0588070905599227e-34,1.5759540023674228e-35,2.38923721053477e-34,4.528209401419206e-36,2.576849525539516e-32,1.0069270236145105e-31,1.7907759501239352e-07,0.056879268954501225,8.988529306525166e-19,1.3070952083815183e-20,1.358195257617793e-29,8.617307718328881e-32,3.466711470381618e-30,4.5344852751021454e-48,3.571791009758954e-43,2.3598014563531395e-51,4.562684432850925e-50,4.4269296486388994e-58,1.39678069161564e-58,7.83813096896342e-38,9.044419964396376e-37,1.3787878947719069e-41,3.8260729291879716e-15,2.0262539685576993e-16,1.1622521382758523e-16,4.754986289357623e-15,2.062405918389344e-15,0.0005285558715060393,2.808818040841769e-06,3.233285067981344e-08,4.1576388132640546e-11,7.487417027405451e-27,2.329673504758927e-22,1.2465156581872859e-32,3.813493664240405e-37,1.5026287259471839e-27,6.627165539993879e-21,5.816829394454845e-17,1.1549900309153719e-19,0.7447202676208676,0.0,1.699791353404821e-84,5.342652693853484e-85,2.943707711032017e-45,1.7925202156622575e-45,0.0
0.4959183673469388,1530.8585650927462,1.1916513415083004e-06,2.8092453269595e-08,1.9498899941614615e-06,0.0985222948010163,9.673861298232113e-05,0.12984129335266212,1.5479268884954083e-07,9.998484012932795e-09,1.1272620290220424e-30,6.448998304529473e-32,5.902147463165731e-31,1.4529079854714892e-32,2.906861650357436e-29,6.08678502450561e-29,1.6184544454751015e-06,0.06494385954118788,6.372629412264455e-17,8.256199938244341e-19,4.5259027905550436e-27,3.5143992693683854e-29,7.8058243926679525e-28,3.2553363493467366e-43,6.08620923834664e-39,1.711994180066308e-46,1.482632949729371e-45,6.071818984628693e-53,1.1885459985071848e-53,3.233723173169096e-34,1.979159681648444e-33,7.65819831127012e-38,1.155258319046613e-13,6.9213556649674375e-15,3.1801545960615963e-15,6.199284546696598e-14,3.2125557246774033e-14,0.0009449909212098891,3.122278912215315e-06,5.506456889864159e-08,2.172442784810196e-10,3.6449310741776516e-24,3.403674351892265e-20,1.0919559845252588e-29,6.052051553817264e-34,2.78264102975279e-25,3.2174941590472e-19,1.3505225912237848e-15,6.0653251040103125e-18,0.7381403847000804,0.0,3.1524754319516458e-77,6.070982372899975e-78,2.803796376119661e-41,1.144954914613576e-41,0.0
0.5612244897959184,1650.5712569812065,6.01953317852202e-06,2.2831265460552784e-07,7.717598300445485e-06,0.08466591844146863,0.0002497344637916617,0.1456182400683902,3.1292127622027007e-07,1.9280567725087784e-08,8.438874045382975e-28,5.333679447193026e-29,3.310312557911349e-28,1.0044048918351955e-29,8.875463844789333e-27,1.1528629618073389e-26,9.67612211785249e-06,0.07286503251654115,2.0118949957565033e-15,2.4208582714767495e-17,5.100060404042608e-25,4.662084284167461e-27,6.546040020514353e-26,2.8091043433771803e-39,1.6927833606156952e-35,1.5403667505890962e-42,7.152118808969492e-42,9.419630385386592e-49,1.2829674776963072e-49,2.7760665209697855e-31,1.0430360598807681e-30,8.515264264001817e-35,1.7635188949677152e-12,1.1830212756637392e-13,4.628330703063862e-14,5.075212059545612e-13,2.9298862232230807e-13,0.0014686354330268677,3.2485479148145063e-06,8.255781552620513e-08,8.11087678336193e-10,5.394108564774795e-22,1.962131281823332e-18,2.6796775181299495e-27,2.3509225809809646e-31,1.8991347501745505e-23,7.506810822163234e-18,1.7511787193515967e-14,1.4847921408768038e-16,0.7316150456431882,0.0,2.7046868384732083e-71,3.5884617648825075e-72,4.867611008998989e-38,1.471941511488264e-38,0.0
0.6265306122448979,1763.0366555691908,2.3369620938751866e-05,1.2871182511951341e-06,2.312932158176835e-05,0.07099066135003981,0.0005362585028632562,0.16104873739313155,5.363720123579235e-07,3.2374026222682207e-08,1.9812131861013295e-25,1.3814357473979016e-26,6.345907920889347e-26,2.2837774110240134e-27,1.0557362625194604e-24,9.488678372126878e-25,4.293077821736159e-05,0.08062766008043651,3.5321279465859654e-14,4.077435916968964e-16,2.6214716124734582e-23,2.741662728754656e-25,2.693420246892763e-24,5.235557179796633e-36,1.2753828871022234e-32,3.075448262049309e-39,8.75224044838047e-39,3.0425669642672295e-45,3.1423250481077782e-46,7.658276255977708e-29,1.9699416999413025e-28,2.9619722164321147e-32,1.6312584339628852e-11,1.2189925876567236e-12,4.2561890053163104e-13,2.971575656200961e-12,1.8075147148638378e-12,0.002048133235943232,3.183968128415533e-06,1.1205029824464586e-07,2.358089578503036e-09,3.366842291904606e-20,5.786059679108301e-17,2.621481303970224e-25,3.2889863498782234e-29,6.268631942881714e-22,1.0297107242100834e-16,1.4901744770647322e-13,2.085041687890943e-15,0.7251672069306305,0.0,2.541774777144798e-66,2.536821040408358e-67,2.4738833901602763e-35,5.9686557806100085e-36,0.0
0.6918367346938776,1868.3387992496328,7.464862276853164e-05,5.499778658692813e-06,5.5601010883441465e-05,0.05755102161540894,0.0009960443216801877,0.17609704824339378,8.00993913993154e-07,4.847968089254741e-08,1.942239668972657e-23,1.4974226365656273e-24,5.461769616954365e-24,2.2638041720134797e-25,6.250755501543201e-23,4.2382671769886434e-23,0.00015264819610067405,0.08818381217959298,3.997219876018272e-13,4.551838484376446e-15,7.510052899651149e-22,8.791301579524837e-24,6.551536640806403e-23,3.115769276518347e-33,3.660198841324374e-30,2.0144015133467087e-36,3.9041877495250925e-36,3.089526962302901e-42,2.5917373954190867e-43,9.075726740372177e-27,1.742498126177271e-26,4.347794094189706e-30,1.028204669445545e-10,8.555185863761253e-12,2.772532012554267e-12,1.359308476420934e-11,8.29409019679826e-12,0.002609640671080733,2.9367019424977422e-06,1.3981645345995444e-07,5.63697842029696e-09,1.1011931030958593e-18,1.039249892497175e-15,1.2948239840434493e-23,2.141946371936647e-27,1.1979277103364274e-20,9.49917423167033e-16,9.274278233605415e-13,1.9258364951699302e-14,0.7188311546034069,0.0,4.686589140501253e-62,3.774605409452172e-63,5.0608128088057894e-33,1.0344435434161766e-33,0.0
0.7571428571428571,1966.073344590807,0.00020589539649455878,1.8898701066252442e-05,0.00011079064936750596,0.04446738797043726,0.0016377467018211121,0.19071626923339613,1.0538071566303802e-06,6.54791770486206e-08,9.634118427553811e-22,8.268876035414953e-23,2.5463928151513237e-22,1.1871783476932149e-23,2.1880173460618936e-21,1.2049439503960044e-21,0.000458756837281188,0.095416785943961,3.225504693167635e-12,3.722532879293914e-14,1.3781046655189508e-20,1.7738695560622618e-22,1.0752749968031508e-21,7.751471333600308e-31,5.0836365676903e-28,5.691784001643798e-34,8.214249615889153e-34,1.3202553096313707e-39,9.550284514633348e-41,5.646357673698992e-25,8.712494211338107e-25,3.3172590732814307e-28,4.762439969899262e-10,4.4332739524890606e-11,1.3829443247750761e-11,5.175550791897046e-11,3.015567801158144e-11,0.003060394630692112,2.5256742181994404e-06,1.6130472919440404e-07,1.1449068592369306e-08,2.1873167850535164e-17,1.2849481126466109e-14,3.8053468886353365e-22,7.736029630179408e-26,1.496640253475781e-19,6.4637673382345745e-15,4.5528402788572696e-12,1.282311459365337e-13,0.7126507169336675,0.0,2.5641541096843213e-58,1.7713613010078316e-59,5.207553881344143e-31,9.506782309137224e-32,0.0
0.8224489795918368,2055.025831669537,0.0005084494702560354,5.427926699352482e-05,0.00018510826650683593,0.03197725282542546,0.0024074498929709713,0.2048419032444624,1.2153265189520755e-06,7.968574766756364e-08,2.7449429742444516e-20,2.657976644057424e-21,7.339689880033812e-21,3.7719034832714317e-22,5.140269432927962e-20,2.465896367067725e-20,0.0012103630874195923,0.10208059450065342,1.9898919188637004e-11,2.3991514287536795e-13,1.7897202965993486e-19,2.494285889834328e-21,1.3154043130535094e-20,9.750641105714153e-29,4.0768371659387576e-26,8.478721865097157e-32,9.905826051800862e-32,2.954768961350024e-37,1.9538126778400674e-38,2.1260564536191862e-23,2.8290113510433886e-23,1.52934839284419e-26,1.6941380990603755e-09,1.785322793061796e-10,5.571804414810784e-11,1.7221771381144375e-10,9.049924501299556e-11,0.0032921950759161817,1.983618690032133e-06,1.712720170085967e-07,2.0060398247748164e-08,2.918256144613049e-16,1.196472704834537e-13,7.489263166793339e-21,1.748089568539793e-24,1.3263501086005434e-18,3.460843088107614e-14,1.8620988151325766e-11,6.537191167922693e-13,0.7066775180310445,0.0,5.687290219784035e-55,3.5759715131823705e-56,3.172548211418531e-29,5.450653086570927e-30,0.0
0.8877551020408163,2132.5759558168334,0.0011584331174898594,0.00013320614179692907,0.00025598151274443763,0.02051502368732089,0.003148723987109038,0.21837134760050927,1.1956471661706778e-06,8.58742743151767e-08,4.8487175246440035e-19,5.42656712433167e-20,1.4390884876957596e-19,7.99793025007115e-21,8.974970872058151e-19,4.049229239975281e-19,0.002884099667195872,0.1077016232398013,9.846461762330747e-11,1.2905959416743236e-12,1.773648274690262e-18,2.6368324078908103e-20,1.3039781902353716e-19,7.12401235771782e-27,2.1764984508709195e-24,7.809014353679216e-30,8.08071544637863e-30,4.1566606712423155e-35,2.6842546270903817e-36,5.381110641428737e-22,6.672559726207268e-22,4.783968002432514e-25,4.7003345296496445e-09,5.737996112597969e-10,1.8794528758655549e-10,5.226678354337912e-10,2.293602886528619e-10,0.003190267026744899,1.3647601726064597e-06,1.64204398970652e-07,3.0215864795482456e-08,2.7970628470639694e-15,9.014316341067133e-13,1.0802269029096647e-19,2.6832654608711943e-23,8.779177126401202e-18,1.526629975831557e-13,6.619017806182414e-11,2.644228909061294e-12,0.70096653968055,0.0,6.655147341067094e-52,4.0727573142663663e-53,1.3018395758922467e-27,2.236089138409633e-28,0.0
